speakerGroups,Speaker,Title,text,pageNumbers
0,NA,Unknown,"Washer, Malcolm James, Moore, Western Australia Wilkie, Andrew Damien, Denison, Tasmania Windsor, Antony Harold Curties, New England, New South Wales Wyatt, Kenneth George, Hasluck, Western Australia Zappia, Antonio, Makin, South Australia The Deputy withdrew from the chamber. NA",21
1,The Clerk,SPEAKER,"Honourable members, the next business is the election of a Speaker.",21
2,Mr GEORGANAS,SPEAKER,"Clerk of the House and members, I move: That the honourable member for Scullin do take the chair of this House as Speaker. It is a true honour and a great delight to nominate a most distinguished and respected member of our parliament, the Hon. Harry Jenkins, the member for Scullin, as Speaker of the House of Representatives in the 43rd Parliament of Australia. Harry has now been elected 10 times as the member for Scullin, beginning with the 1986 by-election, when he took over the role from his father, Dr Harry Jenkins Sr, who was himself the member for Scullin from 1969 to 1986 and Speaker of this House from 1983 to 1986. Harry was born in Melbourne. Before entering parliament he studied science at the Australian National University, graduating with a bachelor's degree. He also worked as a public servant for the Department as' Affairs. Harry's involvement in his local community began well before he entered parliament. He was a councillor with the Whittlesea Shire Council from 1979 to 1986 and then president of the shire from 1984 to 1985. As the member for Scullin for the past 24 years, Harry has committed himself to representing his electorate and the people of Scullin. The overwhelming support he receives at each election really reflects that commitment and the hard work that he performs within his electorate for his constituents. In parliament Harry's greatest contribution has undoubtedly been that toward the speakership, beginning with his election as Deputy Speaker in 1993, through to 1996, and as Second Deputy Speaker from 1996 to 2008. Election We all know Harry's saintly patience, his exhaustive knowledge of the standing orders and his even-handedness in the chair have earned him his reputation and the respect of colleagues on both sides of the House. The dignity and integrity with which he performs his role make him a role model for all members. Most importantly, in the execution of his duties Harry's razor sharp wit and welldeveloped sense of humour have the ability to bring the House together even when tempers fray and the solemn business of government threatens to overwhelm. In my view-and I am sure it is the view of many in this House-there is no-one in this parliament who is more qualified or deserving of the speakership role than Harry or who will bring to the House the experience and stability that the so-called new paradigm will demand. If there is another grand final draw on Saturday, Harry might be asked to decide that one as well! In making this nomination for the position, I wish the member for Scullin every success. I know that he will serve the parliament and, through it, our of Veter- nation extremely well.",21
3,The Clerk,SPEAKER,Is the motion seconded?,21
4,Ms BIRD,SPEAKER,"I second the motion and wish to add my comments to those of my colleague from the class of 2004, the member for Hindmarsh. I take great pleasure in nominating Harry Jenkins as Speaker. I have personally known Harry for 15 years, since I first came here as a staffer. I have found Harry to be one of those people who encourage and support new people in this place in all the different roles that they fulfil. He has remained a friend to me over those 15 years, so it is a real pleasure to second the motion today. I also want to indicate that when I was first elected to this place in 2004, sitting over on that side of the House, Harry sat in front of me. I assure the House that he took great pleasure in making sure that I understood the policies and procedures of question time and that I abided by the rules most of the time. He will no doubt deny that he encouraged me to be a little bit unruly on occasion. He assured me that that was only so that I could learn what I should not be doing in the chamber during question time. I took those lessons to heart. I also had the great pleasure of being a member of the Speaker's panel in the previous parliament, with Harry as Speaker. To me, he indicated through that role his great commitment to all of us in this place and to ensuring that we fulfil our roles as effectively as possible. I believe that Harry has the respect and regard of this chamber and, just as importantly, of the community more broadly. For these reasons, I believe Harry will help us in this place to meet and raise the standards that our communities expect of us in our endeavours on their behalf. It is a great pleasure to second the motion.",21
5,The Clerk,SPEAKER,"Does Mr Jenkins accept the nomination? Mr Jenkins- Mr Clerk, there are a number of options. I could say: why not, or I suppose so, but may the record show, definitely yes.",22
6,The Clerk,SPEAKER,"Is there any further proposal? There being no further proposal, the time for proposals has expired. I declare that the honourable member proposed, Mr Jenkins, has been elected Speaker. Honourable members-Hear, hear!",22
7,The SPEAKER,SPEAKER,I wish to express my grateful thanks for the high honour the House has been pleased to confer upon me. The Speaker having seated himself in the chair,22
8,Ms GILLARD,SPEAKER," Mr Speaker, on behalf of the government I offer my sincere congratulations on your election as Speaker of the House. It seems to have been a long time coming. I welcome your appointment not only as a valued colleague and old friend but as a person learned in the ways of this parliament and eminently suited by temperament and ability to be the Presiding Officer of this House. Given the unusually high level of attention recently to parliamentary reform, I honour your commitment to this cause and your long standing dedication to improving the workings of the parliament. I can think of no-one more worthy of holding this office at such a crucial time for our democracy. The Leader of the Opposition has stated that you are the ‘ideal candidate to start a Westminster style speakership in this country', and in that assessment I fully concur. Mr Speaker, not since the election of your predecessor Walter Maxwell Nairn in the hung parliament of 1940 has your office played such a key role in our democracy. Three generations later we have a remarkable opportunity to rebuild the standing of this parliament in the eyes of the Australian people. Of course the role of Speaker is an ancient office that dates back continuously in the House of Commons to 1376, but in recent decades the existence of strong party rooms and large parliamentary majorities has inevitably affected the role of the Speaker. I sense a possible change ahead of us-for us and for you, Mr Speaker, in this parliament. The outcome of this year's election has renewed the importance of your office in making our parliament succeed. As your role is, of course, to be independent, Mr Speaker, I know that you will honour that in word and in deed. The quality of independence we associate with the office of the Speaker was strongly reaffirmed by the Agreement for a Better Parliament, signed on 6 September. That document confirms that the speakership is to be independent of government and that the Speaker will not attend the party room as other party members do. The government welcomes these obligations and we will do our best to uphold them. Mr Speaker, the result of the 21 August election is a salutary reminder that parliament is not a creature of the executive and that every piece of legislation will require, and should be given, careful and thoughtful deliberation. It is also a reminder that our colleagues on the crossbench have their own rights as legislators which must be protected and upheld. For the government's part we accept these realities and welcome the opportunity for reform that they present. We want this parliament to be productive both in its rules and procedures but also in its outcomes for the nation, and we pledge to uphold the spirit of consensus and goodwill at every possible turn. It is true that our early hopes for a new beginning have not been fully realised. Both the government and the opposition had abundant opportunity to shape the agreement for a better parliament before freely accepting to be bound by its terms. This agreement is a charter of honour requiring the integrity of those who volunteered their endorsement. That some of the reforms outlined in the agreement have not been adhered to is a cause for regret, but I do not regard the agreement or the spirit that engendered it as a lost cause. Instead, I renew an the opposition to embrace the possibility of reform that characterises this new parliament and I say to my colleagues opposite: do not squander this moment whatever the temptation. As we have seen in other political cultures, short-term tactical victories lead only to longer term strategic defeat as our system declines in public esteem. That is the wrong path for Australia and a mistaken reading of the election result. This term of parliament is not an opportunity to re-fight the election, vote after vote, bill after bill. This is a time for consensus not confrontation, debate not destruction. Of course we all know that does not mean that we have to agree on every issue, because a democracy is by definition a contest of values and ideals. But where we do diverge, our disagreements should be discussed with reason and civility, taking the national interest as our guide. The Australian people have sent us here expecting something better. They want a constructive parliament freed from the rancour and name-calling that has dragged it into such poor regard. As Speaker, we will seek your fair and impartial guidance in the unfamiliar landscape that lies ahead, and in turn you will seek from us our best endeavours to make this parliament work as our founders hoped. As the 43rd parliament begins, I would like to think that members will show not only the respect due to your office but also the personal regard that you have earned over your 24 years in this place where you have become renowned for your sense of good humour, which we have already seen on display today, your decency and your abundant common sense. With those qualities in mind I know the parliament has made a wise choice of Speaker and I thank you for accepting the office in these remarkable and demanding times. On behalf of the government, I extend to you my very warmest wishes on your election as Speaker. invitation to Thank you very much. Honourable members-Hear, hear!",22
9,Mr ABBOTT,SPEAKER," Mr Speaker, on behalf of the coalition, I join with the Prime Minister in extending to you our congratulations and best wishes on your re-election to this high office. I have to say, Mr Speaker, that of all the members of this parliament you are obviously the best suited for the office which you now hold. Mr Speaker, I never wavered in my faith that you were the best person for the job that you hold. There were weeks when others doubted. There were weeks when you must have doubted yourself what was going to emerge from this parliament. But I was with you every step of the way. I was there, I was your true friend and I was the true friend of a genuinely independent speakership in this parliament. I was the true friend and, I would like to think, the author of the beginnings of a Westminster style speakership in this parliament. Mr Speaker, yes, this is a finely balanced parliament, but the fact that it is a finely anced parliament does not excuse the government from its duty to keep its election commitments. It does not excuse the government from its duty to be an effective government. It can lower expectations all it likes here, but out there in the country the people of Australia expect a government that keeps its election commitments. It cannot walk away from its election commitments simply because of the closeness of the numbers in this parliament. So, Mr Speaker, this is an opposition which will hold this government to account. This is an opposition which will expect of this government that it honours its commitments. What that means is that this will be a parliament of robust debate. That is what the people expect. They do not expect a false consensus. They do not expect the pretence of agreement when there is none. They expect the values and the principles and the commitments that were brought to this parliament by different members to be vigorously expressed in this place. Mr Speaker, it is precisely because of the qualities that you have previously shown in the chair that you are the right man to hold this job at this time. It was obvious to all members on this side of the parliament that you were very unhappy with the way the parliament was conducted in the last term. Your impatience with longwinded ministerial answers was palpable. Your unhappiness with irrelevant answers was obvious to all. Well, Mr Speaker, you sought different standing orders; you will soon have different standing orders. Under the new standing orders you will have the opportunity to ensure not only that ministerial answers are brief but that they are directly relevant to the question-that answers are not the answers that ministers wish to give but that they are, at last, directly relevant to the question that has actually been asked. Mr Speaker, you are the custodian of the baltraditions of this parliament. You are the custodian of the rights of members. You are no longer a creature of party. You are no longer the creature of the executive. You are now free to be in this parliament everything that a Westminster style Speaker should be. This is your time, Mr Speaker, and I know you will use it in the best interests of this parliament and this nation. Honourable members-Hear, hear!",24
